Player,Matches,innings_bat,Runs,Balls_played,Outs,SR,Avg,Centuries,Fifties,Fours,Sixes,innings_bowl,Wickets_taken,Total_balls,Total_runs_given,Economy,Bowling_avg,Bowling_SR
PA Patel,136,136,2848,2442,127,116.63,22.43,0,13,365,49,0,0,0,0,0,0,0
DR Smith,134,88,2385,1803,81,132.28,29.44,0,17,245,117,46,27,557,825,8.89,30.56,20.63
WP Saha,134,134,2798,2248,112,124.47,24.98,1,13,278,84,0,0,0,0,0,0,0
Mohammed Shami,133,23,74,82,13,90.24,5.69,0,0,6,2,110,144,2521,3486,8.3,24.21,17.51
CH Morris,130,49,618,413,29,149.64,21.31,0,2,41,35,81,107,1801,2377,7.92,22.21,16.83
MP Stoinis,129,74,1478,1094,55,135.1,26.87,0,7,111,75,55,40,744,1173,9.46,29.32,18.6
STR Binny,129,66,880,700,44,125.71,20,0,0,66,35,63,28,611,763,7.49,27.25,21.82
DW Steyn,128,33,167,163,22,102.45,7.59,0,0,14,3,95,105,2282,2583,6.79,24.6,21.73
MM Sharma,126,26,122,121,14,100.83,8.71,0,0,9,4,100,131,2063,2850,8.29,21.76,15.75
Z Khan,126,27,117,141,15,82.98,7.8,0,0,11,2,99,119,2276,2860,7.54,24.03,19.13
SA Yadav,125,124,3249,2313,102,140.47,31.85,1,21,349,112,1,0,6,8,8,0,0
F du Plessis,124,123,4133,3159,110,130.83,37.57,0,33,375,145,1,0,6,16,16,0,0
JP Duminy,124,75,2029,1680,49,120.77,41.41,0,14,126,79,49,23,701,847,7.25,36.83,30.48
N Rana,123,99,2594,1980,92,131.01,28.2,0,18,229,131,24,10,185,253,8.21,25.3,18.5
HV Patel,122,33,236,195,23,121.03,10.26,0,0,15,14,89,121,1967,2730,8.33,22.56,16.26
Shakib Al Hasan,122,52,795,665,40,119.55,19.88,0,2,73,21,70,71,1515,1864,7.38,26.25,21.34
I Sharma,120,19,56,63,7,88.89,8,0,0,4,2,101,84,2247,2989,7.98,35.58,26.75
V Sehwag,119,104,2728,1833,98,148.83,27.84,2,16,334,106,15,6,138,236,10.26,39.33,23
DJ Hooda,118,87,1321,1063,69,124.27,19.14,0,7,80,58,31,10,365,513,8.43,51.3,36.5
MA Agarwal,117,117,2605,2022,112,128.83,23.26,1,13,257,97,0,0,0,0,0,0,0
JD Unadkat,115,22,173,143,12,120.98,14.42,0,0,14,6,93,100,1994,2898,8.72,28.98,19.94
SN Thakur,115,32,286,210,22,136.19,13,0,1,25,12,83,95,1782,2593,8.73,27.29,18.76
DA Miller,114,114,2714,2022,77,134.22,35.25,1,12,187,126,0,0,0,0,0,0,0
MC Henriques,114,54,1000,801,38,124.84,26.32,0,5,87,28,60,46,979,1302,7.98,28.3,21.28
DS Kulkarni,112,20,104,113,9,92.04,11.56,0,0,7,2,92,91,1876,2513,8.04,27.62,20.62
RP Singh,110,28,52,78,15,66.67,3.47,0,0,2,1,82,100,1874,2417,7.74,24.17,18.74
BB McCullum,109,109,2882,2272,106,126.85,27.19,2,13,293,130,0,0,0,0,0,0,0
KV Sharma,109,36,320,290,23,110.34,13.91,0,0,18,14,73,75,1371,1874,8.2,24.99,18.28
M Vijay,109,105,2619,2208,97,118.61,27,2,13,247,91,4,0,37,49,7.95,0,0
PP Ojha,109,19,16,45,10,35.56,1.6,0,0,0,0,90,99,1945,2399,7.4,24.23,19.65
KL Rahul,108,108,4169,3180,92,131.1,45.32,4,33,355,168,0,0,0,0,0,0,0
R Tewatia,108,56,825,649,35,127.12,23.57,0,1,60,42,52,36,866,1117,7.74,31.03,24.06
TA Boult,106,18,69,66,6,104.55,11.5,0,0,3,3,88,112,2095,2838,8.13,25.34,18.71
A Nehra,105,17,41,63,8,65.08,5.12,0,0,3,1,88,121,1974,2537,7.71,20.97,16.31
JP Faulkner,105,45,527,406,28,129.8,18.82,0,0,36,23,60,76,1287,1849,8.62,24.33,16.93
SS Iyer,101,100,2780,2295,93,121.13,29.89,0,19,238,99,1,0,6,7,7,0,0
MM Ali,100,52,1034,744,44,138.98,23.5,0,5,88,59,48,38,721,829,6.9,21.82,18.97
Mandeep Singh,99,97,1706,1418,85,120.31,20.07,0,6,176,38,2,0,12,26,13,0,0
Kuldeep Yadav,98,27,136,180,8,75.56,17,0,0,10,2,71,74,1519,2037,8.05,27.53,20.53
Mohammed Siraj,98,19,97,113,9,85.84,10.78,0,0,10,2,79,81,1731,2387,8.27,29.47,21.37
RR Pant,97,97,2851,2000,85,142.55,33.54,1,15,262,129,0,0,0,0,0,0,0
Q de Kock,96,96,2910,2216,90,131.32,32.33,2,20,287,114,0,0,0,0,0,0,0
AJ Finch,95,90,2092,1696,84,123.35,24.9,0,15,214,78,5,1,44,67,9.14,67,44
JC Buttler,95,95,3224,2253,86,143.1,37.49,5,19,320,149,0,0,0,0,0,0,0
K Rabada,94,25,186,190,15,97.89,12.4,0,0,16,6,69,115,1645,2266,8.27,19.7,14.3
NV Ojha,94,94,1554,1360,74,114.26,21,0,6,121,79,0,0,0,0,0,0,0
SPD Smith,94,93,2495,1999,78,124.81,31.99,1,11,226,60,1,0,2,5,15,0,0
Washington Sundar,93,37,378,340,26,111.18,14.54,0,0,32,9,56,38,1034,1262,7.32,33.21,27.21
AB Dinda,91,16,26,50,9,52,2.89,0,0,2,0,75,82,1589,2103,7.94,25.65,19.38
DT Christian,90,41,460,408,28,112.75,16.43,0,0,23,19,49,40,922,1218,7.93,30.45,23.05
M Morkel,90,20,126,93,11,135.48,11.45,0,0,11,5,70,88,1699,2136,7.54,24.27,19.31
S Nadeem,90,20,39,88,16,44.32,2.44,0,0,2,0,70,54,1444,1800,7.48,33.33,26.74
MK Tiwary,89,83,1695,1489,61,113.83,27.79,0,7,156,40,6,1,45,83,11.07,83,45
SK Trivedi,89,14,42,61,8,68.85,5.25,0,0,3,1,75,73,1557,1944,7.49,26.63,21.33
RA Tripathi,88,87,2071,1529,76,135.45,27.25,0,11,205,78,1,0,6,12,12,0,0
RD Chahar,88,20,108,112,15,96.43,7.2,0,0,10,4,68,66,1508,1885,7.5,28.56,22.85
DJ Hussey,87,61,1322,1101,49,120.07,26.98,0,5,90,60,26,10,323,485,9.01,48.5,32.3
Shubman Gill,87,87,2790,2137,75,130.56,37.2,3,18,273,80,0,0,0,0,0,0,0
L Balaji,86,13,36,50,7,72,5.14,0,0,2,1,73,85,1574,2083,7.94,24.51,18.52
AD Mathews,85,41,724,599,31,120.87,23.35,0,1,44,29,44,28,807,1095,8.14,39.11,28.82
DL Chahar,85,12,80,61,7,131.15,11.43,0,0,2,6,73,74,1600,2041,7.65,27.58,21.62
Ishan Kishan,85,85,2324,1769,77,131.37,30.18,0,15,220,103,0,0,0,0,0,0,0
BJ Hodge,83,63,1400,1153,46,121.42,30.43,0,6,122,43,20,18,238,310,7.82,17.22,13.22
MG Johnson,82,28,167,168,14,99.4,11.93,0,0,10,7,54,66,1301,1740,8.02,26.36,19.71
R Dravid,82,82,2174,1918,77,113.35,28.23,0,11,269,28,0,0,0,0,0,0,0
SR Tendulkar,82,78,2333,2043,71,114.19,32.86,1,13,296,29,4,0,37,59,9.57,0,0
AC Gilchrist,81,80,2069,1555,76,133.05,27.22,2,11,239,92,1,1,1,0,0,0,1
BA Stokes,81,43,935,718,41,130.22,22.8,2,2,81,32,38,31,723,1023,8.49,33,23.32
KM Jadhav,81,81,1208,1012,54,119.37,22.37,0,4,102,40,0,0,0,0,0,0,0
SK Warne,81,27,198,219,19,90.41,10.42,0,0,14,6,54,60,1223,1465,7.19,24.42,20.38
SM Curran,81,36,613,443,25,138.37,24.52,0,3,50,31,45,46,980,1502,9.2,32.65,21.3
DPMD Jayawardene,78,78,1808,1522,64,118.79,28.25,1,10,200,40,0,0,0,0,0,0,0
P Negi,77,35,365,301,26,121.26,14.04,0,0,27,16,42,38,733,954,7.81,25.11,19.29
KS Williamson,76,74,2105,1707,57,123.32,36.93,0,18,183,64,2,0,18,31,10.33,0,0
MJ McClenaghan,76,20,85,73,11,116.44,7.73,0,0,5,7,56,75,1346,1839,8.2,24.52,17.95
SC Ganguly,76,56,1349,1326,54,101.73,24.98,0,7,137,42,20,12,280,370,7.93,30.83,23.33
M Muralitharan,75,9,20,30,6,66.67,3.33,0,0,1,0,66,67,1581,1765,6.7,26.34,23.6
MM Patel,75,12,39,41,5,95.12,7.8,0,0,5,0,63,82,1382,1733,7.52,21.13,16.85
TM Dilshan,75,50,1153,1047,41,110.12,28.12,0,9,140,24,25,5,275,368,8.03,73.6,55
EJG Morgan,74,74,1406,1181,61,119.05,23.05,0,5,112,64,0,0,0,0,0,0,0
JO Holder,73,27,259,217,21,119.35,12.33,0,0,13,18,46,59,1049,1489,8.52,25.24,17.78
SS Tiwary,73,73,1494,1291,50,115.72,29.88,0,8,111,50,0,0,0,0,0,0,0
TG Southee,73,19,120,108,11,111.11,10.91,0,0,8,4,54,57,1262,1774,8.43,31.12,22.14
V Shankar,73,51,1032,815,38,126.63,27.16,0,6,73,43,22,12,258,344,8,28.67,21.5
Y Venugopal Rao,72,52,985,865,42,113.87,23.45,0,3,77,37,20,7,222,338,9.14,48.29,31.71
PJ Cummins,71,29,379,260,22,145.77,17.23,0,3,24,26,42,48,995,1405,8.47,29.27,20.73
PP Shaw,71,71,1694,1196,69,141.64,24.55,0,13,208,56,0,0,0,0,0,0,0
S Gopal,70,22,180,173,13,104.05,13.85,0,0,19,2,48,50,958,1291,8.09,25.82,19.16
AM Nayar,69,50,672,588,39,114.29,17.23,0,0,55,20,19,9,239,323,8.11,35.89,26.56
M Kartik,69,14,113,109,7,103.67,16.14,0,0,7,1,55,39,1182,1418,7.2,36.36,30.31
SE Marsh,69,69,2489,1913,65,130.11,38.29,1,20,269,78,0,0,0,0,0,0,0
KC Sangakkara,68,68,1687,1424,69,118.47,24.45,0,10,195,27,0,0,0,0,0,0,0
KK Nair,68,68,1496,1192,65,125.5,23.02,0,10,161,39,0,0,0,0,0,0,0
Abhishek Sharma,67,45,893,677,40,131.91,22.32,0,4,92,31,22,9,236,345,8.77,38.33,26.22
Imran Tahir,67,8,33,37,4,89.19,8.25,0,0,5,0,59,86,1340,1729,7.74,20.1,15.58
A Symonds,66,36,974,781,26,124.71,37.46,1,5,74,41,30,23,540,694,7.71,30.17,23.48
CV Varun,66,10,25,49,2,51.02,12.5,0,0,2,0,56,64,1315,1631,7.44,25.48,20.55
NLTC Perera,66,30,424,326,24,130.06,17.67,0,0,23,26,36,37,715,1031,8.65,27.86,19.32
S Badrinath,65,65,1441,1245,48,115.74,30.02,0,11,154,28,0,0,0,0,0,0,0
S Kaul,64,9,20,36,3,55.56,6.67,0,0,1,0,55,63,1238,1772,8.59,28.13,19.65
JC Archer,63,23,199,132,13,150.76,15.31,0,0,11,14,40,49,987,1210,7.36,24.69,20.14
MR Marsh,63,32,604,491,28,123.01,21.57,0,3,39,35,31,36,539,700,7.79,19.44,14.97
R Parag,63,44,600,502,35,119.52,17.14,0,2,44,27,19,5,162,280,10.37,56,32.4
R Sharma,63,19,66,77,11,85.71,6,0,0,5,3,44,42,935,1100,7.06,26.19,22.26
J Botha,62,28,409,364,22,112.36,18.59,0,1,39,5,34,27,709,818,6.92,30.3,26.26
Ravi Bishnoi,62,11,28,46,5,60.87,5.6,0,0,2,0,51,58,1190,1477,7.45,25.47,20.52
SB Jakati,62,5,28,30,2,93.33,14,0,0,3,0,57,50,1101,1474,8.03,29.48,22.02
VR Aaron,62,12,50,73,4,68.49,12.5,0,0,2,2,50,46,1065,1527,8.6,33.2,23.15
Arshdeep Singh,61,10,25,38,4,65.79,6.25,0,0,3,0,51,64,1127,1583,8.43,24.73,17.61
Iqbal Abdulla,61,13,88,86,1,102.33,88,0,0,9,1,48,45,943,1125,7.16,25,20.96
K Gowtham,61,27,247,159,18,155.35,13.72,0,0,15,17,34,22,586,795,8.14,36.14,26.64
AB Agarkar,60,18,179,160,8,111.87,22.38,0,0,13,5,42,33,820,1174,8.59,35.58,24.85
LR Shukla,60,33,405,358,29,113.13,13.97,0,0,33,16,27,17,326,458,8.43,26.94,19.18
S Dube,60,47,1106,818,39,135.21,28.36,0,6,58,73,13,5,111,176,9.51,35.2,22.2
MS Gony,59,15,99,76,9,130.26,11,0,0,6,8,44,39,925,1317,8.54,33.77,23.72
M Prasidh Krishna,58,7,9,24,2,37.5,4.5,0,0,0,0,51,54,1231,1741,8.49,32.24,22.8
MEK Hussey,58,58,1977,1648,52,119.96,38.02,1,15,198,52,0,0,0,0,0,0,0
N Pooran,58,58,1270,847,48,149.94,26.46,0,6,78,91,0,0,0,0,0,0,0
RJ Harris,58,21,117,112,12,104.46,9.75,0,0,6,3,37,47,865,1085,7.53,23.09,18.4
A Kumble,57,15,35,49,2,71.43,17.5,0,0,3,0,42,49,983,1089,6.65,22.22,20.06
B Lee,57,19,124,102,10,121.57,12.4,0,0,8,8,38,30,916,1126,7.38,37.53,30.53
D Padikkal,57,57,1521,1263,56,120.43,27.16,1,9,167,42,0,0,0,0,0,0,0
R Dhawan,57,22,210,188,10,111.7,21,0,0,18,7,35,27,674,883,7.86,32.7,24.96
LRPL Taylor,56,54,1017,847,41,120.07,24.8,0,3,66,46,2,0,13,24,11.08,0,0
M Ashwin,56,12,35,50,8,70,4.38,0,0,2,1,44,35,898,1182,7.9,33.77,25.66
PJ Sangwan,56,14,26,47,8,55.32,3.25,0,0,1,0,42,44,904,1266,8.4,28.77,20.55
S Sreesanth,56,12,34,57,3,59.65,11.33,0,0,6,0,44,43,947,1221,7.74,28.4,22.02
SO Hetmyer,56,56,1130,782,35,144.5,32.29,0,4,67,75,0,0,0,0,0,0,0
Avesh Khan,54,7,31,20,1,155,31,0,0,2,3,47,59,1044,1477,8.49,25.03,17.69
Mustafizur Rahman,54,6,13,23,1,56.52,13,0,0,0,1,48,56,1128,1468,7.81,26.21,20.14
NM Coulter-Nile,54,16,82,75,10,109.33,8.2,0,0,7,4,38,52,892,1125,7.57,21.63,17.15
Shahbaz Ahmed,52,25,321,294,19,109.18,16.89,0,0,21,12,27,14,383,573,8.98,40.93,27.36
A Nortje,51,11,45,42,3,107.14,15,0,0,6,0,40,55,957,1316,8.25,23.93,17.4
CJ Anderson,51,29,538,436,22,123.39,24.45,0,3,40,31,22,14,315,525,10,37.5,22.5
CL White,51,45,971,774,35,125.45,27.74,0,6,76,38,6,1,46,86,11.22,86,46
M Vohra,51,51,1083,863,48,125.49,22.56,0,3,104,43,0,0,0,0,0,0,0
RD Gaikwad,51,51,1797,1356,45,132.52,39.93,1,14,159,73,0,0,0,0,0,0,0
ST Jayasuriya,51,30,768,573,29,134.03,26.48,1,4,84,39,21,16,301,396,7.89,24.75,18.81
DL Vettori,50,16,121,118,7,102.54,17.29,0,0,11,2,34,34,785,894,6.83,26.29,23.09
LS Livingstone,50,32,828,527,29,157.12,28.55,0,6,58,59,18,8,192,309,9.66,38.62,24
TL Suman,50,39,676,587,30,115.16,22.53,0,2,55,26,11,7,152,198,7.82,28.29,21.71
KP Pietersen,49,36,1001,758,29,132.06,34.52,1,4,91,40,13,9,180,218,7.27,24.22,20
T Natarajan,49,2,3,5,0,60,0,0,0,0,0,47,56,1069,1532,8.6,27.36,19.09
KK Ahmed,48,5,1,7,5,14.29,0.2,0,0,0,0,43,61,1021,1425,8.37,23.36,16.74
S Aravind,48,10,59,59,3,100,19.67,0,0,7,0,38,48,788,1057,8.05,22.02,16.42
CJ Jordan,46,12,81,81,9,100,9,0,0,3,3,34,36,717,1111,9.3,30.86,19.92
WD Parnell,46,13,65,86,10,75.58,6.5,0,0,4,1,33,40,758,968,7.66,24.2,18.95
Bipul Sharma,45,17,187,124,6,150.81,31.17,0,0,11,9,28,22,436,581,8,26.41,19.82
JD Ryder,45,29,604,466,29,129.61,20.83,0,4,69,19,16,11,241,314,7.82,28.55,21.91
Azhar Mahmood,44,21,388,311,19,124.76,20.42,0,2,39,13,23,31,552,707,7.68,22.81,17.81
LH Ferguson,44,6,67,47,3,142.55,22.33,0,0,6,2,38,47,855,1191,8.36,25.34,18.19
VR Iyer,44,36,956,762,34,125.46,28.12,1,7,86,42,8,3,78,117,9,39,26
A Ashish Reddy,43,23,280,196,15,142.86,18.67,0,0,16,15,20,19,270,400,8.89,21.05,14.21
AJ Tye,43,13,91,79,8,115.19,11.38,0,0,6,5,30,48,714,1005,8.45,20.94,14.88
AK Markram,43,31,775,600,24,129.17,32.29,0,4,55,31,12,2,110,158,8.62,79,55
Harpreet Brar,43,17,158,142,10,111.27,15.8,0,0,11,7,26,18,462,598,7.77,33.22,25.67
Shivam Mavi,43,11,51,58,9,87.93,5.67,0,0,4,2,32,33,687,958,8.37,29.03,20.82
CA Lynn,42,42,1329,974,39,136.45,34.08,0,10,132,66,0,0,0,0,0,0,0
M Manhas,41,38,514,486,24,105.76,21.42,0,0,43,10,3,0,42,42,6,0,0
C de Grandhomme,40,21,303,229,15,132.31,20.2,0,0,18,18,19,7,230,323,8.43,46.14,32.86
M Markande,40,10,48,44,3,109.09,16,0,0,5,1,30,29,595,822,8.29,28.34,20.52
PWH de Silva,40,14,72,80,11,90,6.55,0,0,7,1,26,36,557,758,8.17,21.06,15.47
DJG Sammy,39,20,295,251,15,117.53,19.67,0,1,15,18,19,14,244,354,8.7,25.29,17.43
JM Bairstow,39,39,1291,935,38,138.07,33.97,1,9,133,55,0,0,0,0,0,0,0
