Player,Matches,innings_bat,Runs,Balls_played,Outs,SR,Avg,Centuries,Fifties,Fours,Sixes,innings_bowl,Wickets_taken,Total_balls,Total_runs_given,Economy,Bowling_avg,Bowling_SR
T Shamsi,6,1,2,4,0,50,0,0,0,0,0,5,3,120,185,9.25,61.67,40
UT Khawaja,6,6,127,105,5,120.95,25.4,0,0,14,3,0,0,0,0,0,0,0
Vishnu Vinod,6,6,56,58,6,96.55,9.33,0,0,3,3,0,0,0,0,0,0,0
AG Paunikar,5,5,49,61,5,80.33,9.8,0,0,9,0,0,0,0,0,0,0,0
AP Dole,5,2,34,23,2,147.83,17,0,0,3,1,3,5,73,114,9.37,22.8,14.6
AU Rashid,5,2,22,17,2,129.41,11,0,0,2,1,3,2,60,91,9.1,45.5,30
Arjun Tendulkar,5,1,13,9,1,144.44,13,0,0,0,1,4,4,68,95,8.38,23.75,17
BMAJ Mendis,5,3,23,27,3,85.19,7.67,0,0,0,0,2,1,30,36,7.2,36,30
DNT Zoysa,5,2,11,9,1,122.22,11,0,0,1,0,3,2,69,100,8.7,50,34.5
JA Richardson,5,2,15,25,2,60,7.5,0,0,2,0,3,3,69,122,10.61,40.67,23
JPR Scantlebury-Searles,5,2,8,6,1,133.33,8,0,0,0,1,3,2,45,89,11.87,44.5,22.5
JR Philippe,5,5,78,80,4,97.5,19.5,0,0,9,1,0,0,0,0,0,0,0
K Upadhyay,5,2,12,9,0,133.33,0,0,0,0,1,3,0,56,81,8.68,0,0
L Ronchi,5,5,34,37,3,91.89,11.33,0,0,6,1,0,0,0,0,0,0,0
MA Khote,5,3,24,22,2,109.09,12,0,0,2,1,2,2,30,52,10.4,26,15
MN van Wyk,5,5,167,135,3,123.7,55.67,0,1,19,1,0,0,0,0,0,0,0
ND Doshi,5,1,0,13,1,0,0,0,0,0,0,4,2,57,79,8.32,39.5,28.5
PN Mankad,5,5,97,75,3,129.33,32.33,0,1,13,2,0,0,0,0,0,0,0
Rasikh Salam,5,2,12,10,1,120,12,0,0,1,0,3,0,51,70,8.24,0,0
SM Harwood,5,2,9,14,0,64.29,0,0,0,0,0,3,3,67,74,6.63,24.67,22.33
Sunny Singh,5,5,43,31,4,138.71,10.75,0,0,6,1,0,0,0,0,0,0,0
T Stubbs,5,4,27,35,3,77.14,9,0,0,2,0,1,1,12,14,7,14,12
TR Birt,5,5,75,59,5,127.12,15,0,0,9,2,0,0,0,0,0,0,0
Yudhvir Singh,5,2,1,2,2,50,0.5,0,0,0,0,3,3,50,73,8.76,24.33,16.67
A Uniyal,4,2,4,7,1,57.14,4,0,0,0,0,2,3,38,67,10.58,22.33,12.67
AJ Turner,4,4,3,11,3,27.27,1,0,0,0,0,0,0,0,0,0,0,0
AP Majumdar,4,4,87,77,4,112.99,21.75,0,0,7,2,0,0,0,0,0,0,0
Abishek Porel,4,4,33,31,4,106.45,8.25,0,0,1,2,0,0,0,0,0,0,0
Anirudh Singh,4,4,63,69,4,91.3,15.75,0,0,6,1,0,0,0,0,0,0,0
B Sumanth,4,4,35,38,1,92.11,35,0,0,3,0,0,0,0,0,0,0,0
C Nanda,4,1,0,1,1,0,0,0,0,0,0,3,2,50,58,6.96,29,25
D Kalyankrishna,4,1,3,8,1,37.5,3,0,0,0,0,3,2,50,88,10.56,44,25
DG Nalkande,4,1,0,1,1,0,0,0,0,0,0,3,3,58,104,10.76,34.67,19.33
DJ Mitchell,4,2,33,46,2,71.74,16.5,0,0,1,0,2,0,13,27,12.46,0,0
K Yadav,4,1,0,4,0,0,0,0,0,0,0,3,2,54,85,9.44,42.5,27
L Ablish,4,1,0,2,0,0,0,0,0,0,0,3,5,45,76,10.13,15.2,9
LPC Silva,4,3,40,27,2,148.15,20,0,0,5,1,1,0,6,21,21,0,0
M Klinger,4,4,73,78,4,93.59,18.25,0,0,9,0,0,0,0,0,0,0,0
NL McCullum,4,2,26,23,3,113.04,8.67,0,0,0,1,2,0,30,35,7,0,0
NS Naik,4,4,31,53,4,58.49,7.75,0,0,2,0,0,0,0,0,0,0,0
RR Sarwan,4,4,73,78,3,93.59,24.33,0,0,6,1,0,0,0,0,0,0,0
S Sriram,4,2,31,38,2,81.58,15.5,0,0,3,0,2,0,18,49,16.33,0,0
Shoaib Akhtar,4,1,2,8,1,25,2,0,0,0,0,3,5,46,54,7.04,10.8,9.2
T Henderson,4,2,11,16,1,68.75,11,0,0,0,1,2,1,36,41,6.83,41,36
Yashpal Singh,4,4,47,67,4,70.15,11.75,0,0,5,0,0,0,0,0,0,0,0
AB Barath,3,3,42,43,2,97.67,21,0,0,5,1,0,0,0,0,0,0,0
AT Carey,3,3,32,29,2,110.34,16,0,0,0,1,0,0,0,0,0,0,0
B Indrajith,3,3,21,31,3,67.74,7,0,0,2,0,0,0,0,0,0,0,0
BR Dunk,3,3,40,36,3,111.11,13.33,0,0,7,0,0,0,0,0,0,0,0
CJ McKay,3,1,8,15,1,53.33,8,0,0,0,0,2,1,42,60,8.57,60,42
D du Preez,3,1,10,13,1,76.92,10,0,0,0,0,2,4,43,56,7.81,14,10.75
F Behardien,3,3,14,13,2,107.69,7,0,0,2,0,0,0,0,0,0,0,0
HE van der Dussen,3,3,22,25,2,88,11,0,0,2,0,0,0,0,0,0,0,0
J Arunkumar,3,3,23,24,3,95.83,7.67,0,0,5,0,0,0,0,0,0,0,0
KAJ Roach,3,1,10,9,1,111.11,10,0,0,1,0,2,0,52,80,9.23,0,0
KS Sharma,3,3,16,25,3,64,5.33,0,0,1,0,0,0,0,0,0,0,0
MD Shanaka,3,3,26,26,2,100,13,0,0,2,1,0,0,0,0,0,0,0
NJ Maddinson,3,3,20,21,3,95.24,6.67,0,0,4,0,0,0,0,0,0,0,0
PM Sarvesh Kumar,3,1,1,2,0,50,0,0,0,0,0,2,1,31,42,8.13,42,31
R Bishnoi,3,3,19,17,3,111.76,6.33,0,0,1,2,0,0,0,0,0,0,0
R Ninan,3,1,3,6,1,50,3,0,0,0,0,2,3,36,65,10.83,21.67,12
RG More,3,1,2,2,0,100,0,0,0,0,0,2,1,37,63,10.22,63,37
S Chanderpaul,3,3,25,33,3,75.76,8.33,0,0,4,0,0,0,0,0,0,0,0
T Kohli,3,3,11,20,3,55,3.67,0,0,0,1,0,0,0,0,0,0,0
T Taibu,3,3,31,26,3,119.23,10.33,0,0,3,0,0,0,0,0,0,0,0
TL Seifert,3,3,26,26,3,100,8.67,0,0,4,0,0,0,0,0,0,0,0
TM Srivastava,3,3,8,11,1,72.73,8,0,0,0,0,0,0,0,0,0,0,0
VS Yeligati,3,1,2,2,1,100,2,0,0,0,0,2,0,32,61,11.44,0,0
Vivrant Sharma,3,1,69,49,1,140.82,69,0,1,9,2,2,0,21,37,10.57,0,0
Y Prithvi Raj,3,1,0,1,0,0,0,0,0,0,0,2,1,33,57,10.36,57,33
YV Dhull,3,3,16,23,3,69.57,5.33,0,0,1,0,0,0,0,0,0,0,0
A Dananjaya,2,1,4,5,0,80,0,0,0,0,0,1,0,25,47,11.28,0,0
A Mukund,2,2,19,23,2,82.61,9.5,0,0,1,0,0,0,0,0,0,0,0
AA Noffke,2,1,9,12,1,75,9,0,0,1,0,1,1,25,41,9.84,41,25
AJ Hosein,2,1,16,11,0,145.45,0,0,0,1,1,1,1,24,41,10.25,41,24
AN Ghosh,2,2,7,8,2,87.5,3.5,0,0,1,0,0,0,0,0,0,0,0
Abdur Razzak,2,1,0,2,0,0,0,0,0,0,0,1,0,14,29,12.43,0,0
